namespace,extension,version,asset
MS-CEINTL,vscode-language-pack-tr,1.94.0,/extension/translations/extensions/vscode.json-language-features.i18n.json
MS-CEINTL,vscode-language-pack-es,1.93.0,/extension/translations/extensions/vscode.npm.i18n.json
MS-CEINTL,vscode-language-pack-es,1.93.0,/extension/translations/extensions/vscode.npm.i18n.json
MS-CEINTL,vscode-language-pack-es,1.93.0,/extension/translations/extensions/vscode.npm.i18n.json
MS-CEINTL,vscode-language-pack-pt-BR,1.93.0,/extension/translations/extensions/vscode.markdown-math.i18n.json
MS-CEINTL,vscode-language-pack-pt-BR,1.93.0,/extension/translations/extensions/vscode.markdown-math.i18n.json
MS-CEINTL,vscode-language-pack-pt-BR,1.93.0,/extension/translations/extensions/vscode.markdown-math.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.93.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.93.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.93.0,/extension/translations/extensions/vscode.css-language-features.i18n.json
PKief,material-icon-theme,5.10.0,/extension/package.json
PKief,material-icon-theme,5.10.0,/extension/package.json
PKief,material-icon-theme,5.10.0,/extension/package.json
nothingnothings,nosferatu-theme,1.0.4,/extension/package.json
nothingnothings,nosferatu-theme,1.0.4,/extension/package.json
nothingnothings,nosferatu-theme,1.0.4,/extension/package.json
MS-CEINTL,vscode-language-pack-ja,1.94.0,/extension/translations/extensions/vscode.tunnel-forwarding.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.94.0,/extension/translations/extensions/vscode.tunnel-forwarding.i18n.json
MS-CEINTL,vscode-language-pack-ja,1.94.0,/extension/translations/extensions/vscode.tunnel-forwarding.i18n.json
sjsepan,sjsepan-coffeeish,0.1.2,/extension/package.json
sjsepan,sjsepan-coffeeish,0.1.2,/extension/package.json
sjsepan,sjsepan-coffeeish,0.1.2,/extension/package.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.markdown-math.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.markdown-math.i18n.json
MS-CEINTL,vscode-language-pack-zh-hant,1.94.0,/extension/translations/extensions/vscode.markdown-math.i18n.json
yrumad,oxocarbon-5,0.1.1,/extension/package.json
yrumad,oxocarbon-5,0.1.1,/extension/package.json
